msg,before,after
b'4065\r\n',1583312975865560000,1583312976865692000
b'4095\r\n',1583312976865706000,1583312977865610000
b'3999\r\n',1583312977865623000,1583312978865662000
b'4078\r\n',1583312978865676000,1583312979865645000
b'4067\r\n',1583312979865659000,1583312980865688000
b'3974\r\n',1583312980865703000,1583312981865675000
b'4093\r\n',1583312981865690000,1583312982865762000
b'4060\r\n',1583312982865775000,1583312983865685000
b'4054\r\n',1583312983865705000,1583312984865702000
b'4067\r\n',1583312984865716000,1583312985865739000
b'4075\r\n',1583312985865752000,1583312986865718000
b'4046\r\n',1583312986865732000,1583312987865697000
b'4059\r\n',1583312987865711000,1583312988865741000
b'4041\r\n',1583312988865755000,1583312989865641000
b'4095\r\n',1583312989865656000,1583312990865731000
b'4033\r\n',1583312990865745000,1583312991865664000
b'3971\r\n',1583312991865678000,1583312992865672000
b'4064\r\n',1583312992865686000,1583312993865654000
b'4001\r\n',1583312993865668000,1583312994865670000
